gender,age,age_o,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,met,decision,decision_o,match
female,21,27,Law,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8,8.0,8.0,8,6.0,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7.0,0,1,0,0
female,21,22,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8,10.0,7.0,7,5.0,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7.0,1,1,0,0
female,21,23,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8,9.0,8.0,9,8.0,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7.0,0,1,1,1
female,21,24,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7,9.0,6.0,9,7.0,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6.0,0,1,1,1
female,21,25,Law,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7,8.0,8.0,7,7.0,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6.0,0,0,1,0
female,21,30,Law,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6,7.0,5.0,8,7.0,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6.0,0,1,0,0
female,21,28,Law,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7,8.0,8.0,8,9.0,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7.0,0,1,1,1
female,21,24,Law,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6,6.0,6.0,6,6.0,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6.0,0,1,0,0
female,24,27,Law,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7,6.0,9.0,7,4.0,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6.0,0,0,0,0
female,24,22,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6,10.0,6.0,6,5.0,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7.0,0,0,0,0
